product_name,node_name,year,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
prod-A,CAN,2025,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,CAN,2026,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,CAN_D,2025,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,CAN_D,2026,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,CAN_I,2025,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,CAN_I,2026,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,CAN_N,2025,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,CAN_N,2026,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,FRALEAF,2025,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,FRALEAF,2026,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,HAM,2025,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,HAM,2026,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,HAM_D,2025,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,HAM_D,2026,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,HAM_I,2025,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,HAM_I,2026,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,HAM_N,2025,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,HAM_N,2026,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,JPN,2025,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,JPN,2026,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,MUC,2025,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,MUC,2026,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,MUC_D,2025,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,MUC_D,2026,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,MUC_I,2025,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,MUC_I,2026,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,MUC_N,2025,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,MUC_N,2026,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,SHA,2025,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,SHA_D,2025,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,SHA_D,2026,20,24,29,25,27,31,35,41,37,33,31,35
prod-A,SHA_I,2025,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,SHA_I,2026,30,36,45,39,42,48,54,62,57,51,48,54
prod-A,SHA_N,2025,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,SHA_N,2026,30,36,45,39,42,48,54,62,57,51,48,54
prod-A,NYC,2025,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,NYC_D,2025,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,NYC_D,2026,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,NYC_I,2025,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,NYC_I,2026,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,NYC_N,2025,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,NYC_N,2026,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,LAX,2025,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,LAX_D,2025,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,LAX_D,2026,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,LAX_I,2025,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,LAX_I,2026,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,LAX_N,2025,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,LAX_N,2026,0,0,0,0,0,0,0,0,0,0,0,0
