node_name,Platform_AS,frame_AS,wheels_AS,powerunit_AS,motor_AS,core_AS,coil_AS,cover_AS,battery_AS,Cockpit_AS,steering_AS,monitor_AS,Transmission_AS,Body_AS,steel_AS,windows_AS,wireharness_AS,MOMASIA
price_sales_shipped,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
cost_total,0.9,0.9,0.9,0.9,0.85,0.885,0.885,0.885,0.9,0.85,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.95
profit,0.1,0.1,0.1,0.1,0.15,0.115,0.115,0.115,0.1,0.15,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05
marketing_promotion,0.025,0.025,0.025,0.025,0.025,0.01,0.01,0.01,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0
sales_admin_cost,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0
SGA_total,0.05,0.05,0.05,0.05,0.05,0.035,0.035,0.035,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0
logistics_costs,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
warehouse_cost,0.05,0.05,0.05,0.05,0,0.05,0.05,0.05,0.05,0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0
direct_materials_costs,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.4
purchase_total_cost,0.55,0.55,0.55,0.55,0.4,0.55,0.55,0.55,0.55,0.4,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.45
prod_indirect_labor,0.05,0.05,0.05,0.05,0.03,0.05,0.05,0.05,0.05,0.03,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.03
prod_indirect_others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
direct_labor_costs,0.1,0.1,0.1,0.1,0.27,0.1,0.1,0.1,0.1,0.27,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.27
depreciation_others,0.15,0.15,0.15,0.15,0.1,0.15,0.15,0.15,0.15,0.1,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.2
manufacturing_overhead,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5
